Time,CHIRPS1,Actual,Selaud
15/10/2015,13.759071,,0
16/10/2015,9.306684,,11.007365
17/10/2015,46.53342,,22.01473
18/10/2015,27.920052,,33.022095
19/10/2015,37.226734,,0
20/10/2015,0,,0
21/10/2015,26.978802,,9.149999
22/10/2015,26.978802,,27.449997
23/10/2015,20.2341,,18.299997
24/10/2015,0,,0
25/10/2015,0,,0
26/10/2015,0,,0
27/10/2015,0,,0
28/10/2015,0,,0
29/10/2015,0,,0
30/10/2015,0,,0
31/10/2015,0,,0
01/11/2015,5.920244,,0
02/11/2015,11.840488,,47.5
03/11/2015,17.760733,,7.5
04/11/2015,0,,56.5
05/11/2015,11.840488,,40.5
06/11/2015,11.087539,,0
07/11/2015,5.5437694,,0
08/11/2015,16.631308,,0.5
09/11/2015,5.5437694,,70.5
10/11/2015,22.175077,,3
11/11/2015,11.287578,,0
12/11/2015,0,,0
13/11/2015,5.643789,,0
14/11/2015,0,,0
15/11/2015,5.643789,,0.5
16/11/2015,10.600557,,0
17/11/2015,31.801672,,1
18/11/2015,0,,8
19/11/2015,0,,20
20/11/2015,0,,0
21/11/2015,0,,0
22/11/2015,0,,1.5
23/11/2015,0,,0
24/11/2015,104.615265,,0
25/11/2015,0,,26.5
26/11/2015,0,,0
27/11/2015,0,,1
28/11/2015,7.651524,,0
29/11/2015,7.651524,,2
30/11/2015,0,,0
01/12/2015,0,,0
02/12/2015,0,,0
03/12/2015,0,,38.5
04/12/2015,0,,20
05/12/2015,0,,32
06/12/2015,0,,0
07/12/2015,0,,0
08/12/2015,0,,8.5
09/12/2015,23.436287,,26.5
10/12/2015,11.718143,,0
11/12/2015,0,,27.5
12/12/2015,0,,1
13/12/2015,0,,0
14/12/2015,0,,0
15/12/2015,35.259262,,0
16/12/2015,17.933523,,79.5
17/12/2015,53.80057,,6.5
18/12/2015,17.933523,,57
19/12/2015,17.933523,,3
20/12/2015,17.933523,,2.5
21/12/2015,18.85029,,28.5
22/12/2015,0,,1
23/12/2015,0,,0
24/12/2015,0,,0
25/12/2015,0,,0
26/12/2015,0,,0
27/12/2015,0,,0
28/12/2015,0,,0
29/12/2015,0,,0
30/12/2015,0,,0
31/12/2015,0,,0
01/01/2016,0,,0
02/01/2016,0,,0
03/01/2016,0,,0
04/01/2016,5.020718,,0
05/01/2016,0,,0
06/01/2016,0,,0
07/01/2016,0,,0
08/01/2016,0,,0
09/01/2016,0,,0
10/01/2016,0,,0
11/01/2016,4.9067626,,0
12/01/2016,0,,0
13/01/2016,0,,0
14/01/2016,0,,0
15/01/2016,0,,0
16/01/2016,0,,0
17/01/2016,0,,0
18/01/2016,0,,0
19/01/2016,0,,0
20/01/2016,0,,0
21/01/2016,7.4561243,,0
22/01/2016,0,,0
23/01/2016,0,,0
24/01/2016,0,,0
25/01/2016,0,,0
26/01/2016,0,,0
27/01/2016,0,,0
28/01/2016,0,,0
29/01/2016,8.766574,,0
30/01/2016,0,,0
31/01/2016,0,,0
01/02/2016,0,,0
02/02/2016,0,,0
03/02/2016,0,,1
04/02/2016,0,,0
05/02/2016,0,,0
06/02/2016,0,,0
07/02/2016,0,,1
08/02/2016,0,,2
09/02/2016,0,,3
10/02/2016,0,,0
11/02/2016,0,,0
12/02/2016,0,,0
13/02/2016,0,,0
14/02/2016,2.7877471,,0
15/02/2016,0,,0
16/02/2016,0,,0
17/02/2016,0,,0
18/02/2016,0,,5
19/02/2016,0,,0
20/02/2016,0,,0
21/02/2016,0,,0
22/02/2016,0,,0
23/02/2016,0,,0
24/02/2016,0,,0
25/02/2016,0,,0
26/02/2016,0,,0
27/02/2016,0,,0
28/02/2016,0,,0
29/02/2016,0,,0
01/03/2016,0,,0
02/03/2016,0,,0
03/03/2016,0,,0
04/03/2016,0,,0
05/03/2016,0,,0
06/03/2016,0,,0
07/03/2016,0,,0
08/03/2016,0,,0
09/03/2016,0,,0
10/03/2016,0,,0
11/03/2016,0,,0
12/03/2016,0,,0
13/03/2016,0,,0
14/03/2016,4.245539,,0
15/03/2016,0,,0
16/03/2016,0,,0
17/03/2016,0,,0
18/03/2016,7.198884,,6.498925
19/03/2016,4.8431897,,0
20/03/2016,0,,0
21/03/2016,0,,0
22/03/2016,0,,0
23/03/2016,0,,0
24/03/2016,0,,0
25/03/2016,0,,0
26/03/2016,0,,0
27/03/2016,0,,0
28/03/2016,0,,0
29/03/2016,0,,0
30/03/2016,6.6817193,,11.964205
31/03/2016,0,,0
01/04/2016,0,,0
02/04/2016,0,,0
03/04/2016,0,,0
04/04/2016,0,,0
05/04/2016,0,,0
06/04/2016,0,,0
07/04/2016,0,,0
08/04/2016,0,,0
09/04/2016,0,,0
10/04/2016,23.933548,,57.836407
11/04/2016,0,,11.558343
12/04/2016,15.155245,,11.558343
